,title,description,sub_category,skills,num_skills
16,"BI Foundations with SQL, ETL and Data Warehousing Specialization","Springboard for BI Analytics success. Develop hands-on skills for building data pipelines, warehouses,  reports and dashboards.",Data Management,"['Shell Script', 'Bash (Unix Shell)', 'Linux', 'Cloud Databases', 'Python Programming', 'Jupyter notebooks', 'Relational Database Management System (RDBMS)', 'SQL', 'Extraction', 'Transformation And Loading (ETL)', 'Apache Kafka', 'Apache Airflow', 'Data Pipelines']",13
17,Natural Language Processing Specialization,Break into NLP. Master cutting-edge NLP techniques through four hands-on courses! Updated with the latest techniques in October '21.,Machine Learning,"['Word2vec', 'Machine Translation', 'Sentiment Analysis', 'Transformers', 'Attention Models', 'Word Embeddings', 'Locality-Sensitive Hashing', 'Vector Space Models', 'Parts-of-Speech Tagging', 'N-gram Language Models', 'Autocorrect', 'Word Embedding']",12
18,Business Foundations Specialization,"Solve Real Business Problems. Build a foundation of core business skills in marketing, finance, accounting and operations.",Business Essentials,"['Positioning (Marketing)', 'Marketing', 'Marketing Strategy', 'Customer Satisfaction', 'Financial Accounting', 'Accounting', 'Financial Statement', 'Balance Sheet', 'Decision-Making', 'Change Management', 'Human Resources (HR)', 'Discounted Cash Flow']",12
19,Meta React Native Specialization,"Become a cross-platform mobile app developer. Learn in-demand skills for developing reliable, scalable and user-friendly mobile apps for multiple operating systems, such as iOS and Android.",Mobile and Web Development,"['Web Development', 'React (Web Framework)', 'HTML and CSS', 'Mobile Development', 'JavaScript', 'Test-Driven Development', 'Front-End Web Development', 'Object-Oriented Programming (OOP)', 'Linux', 'Bash (Unix Shell)', 'Github', 'Version Control']",12
20,Mathematics for Machine Learning and Data Science Specialization,"Master the Toolkit of AI and Machine Learning. Mathematics for Machine Learning and Data Science is a beginner-friendly Specialization where you’ll learn the fundamental mathematics toolkit of machine learning: calculus, linear algebra, statistics, and probability.",Algorithms,"['Bayesian Statistics', 'Machine Learning', 'Mathematics', 'Probability', 'Linear Regression', 'Linear Equation', 'Eigenvalues And Eigenvectors', 'Linear Algebra', 'Determinants', 'Calculus', 'Mathematical Optimization', 'Gradient Descent']",12
21,Introduction to Finance and Accounting Specialization,Learn the basics of finance and accounting. Build a foundation of core business skills in finance and accounting,Finance,"['Corporate Finance', 'Financial Accounting', 'Financial Statement', 'Accounting', 'Decision-Making', 'Discounted Cash Flow', 'Cash Flow Analysis', 'Balance Sheet', 'Generally Accepted Accounting Principles', 'Accounting Terminology']",10
22,AI Foundations for Everyone Specialization,Discover how to produce visual data analytics and business insights with the powerful Python programming language.,Data Analysis,"['Data Science', 'Deep Learning', 'Artificial Intelligence (AI)', 'Machine Learning', 'Watson (Computer)', 'Jobs', 'Application Programming Interfaces (API)', 'watson']",8
23,Finance & Quantitative Modeling for Analysts Specialization,Discover how to produce visual data analytics and business insights with the powerful Python programming language.,Finance,"['Financial Modeling', 'Corporate Finance', 'Microsoft Excel', 'Modeling', 'Linear Regression', 'Probabilistic Models', 'Regression Analysis', 'Monte Carlo Method', 'Linear Programming (LP)', 'Solver', 'Discounted Cash Flow', 'Decision-Making']",12
24,Machine Learning Engineering for Production (MLOps) Specialization,Become a Machine Learning expert. Productionize your machine learning knowledge and expand your production engineering capabilities.,Machine Learning,"['Managing Machine Learning Production Systems', 'Deployment Pipelines', 'Model Pipelines', 'Data Pipelines', 'Machine Learning Engineering for Production', 'Human-level Performance (HLP)', 'Concept Drift', 'Model baseline', 'Project Scoping and Design', 'ML Deployment Challenges', 'ML Metadata', 'Convolutional Neural Network']",12
25,Business and Financial Modeling Specialization,Build Business and Financial Models. Use spreadsheet models to make data-driven financial decisions,Business Essentials,"['Financial Modeling', 'Microsoft Excel', 'Simulation', 'Linear Programming (LP)', 'Modeling', 'Linear Regression', 'Probabilistic Models', 'Regression Analysis', 'Monte Carlo Method', 'Solver', 'Risk', 'Cash Flow']",12
26,Business Analytics Specialization,Make Data-Driven Business Decisions. Achieve fluency in business data strategies in four discipline-specific courses.,Data Analysis,"['Customer Analytics', 'Analytics', 'Business Analytics', 'Decision Tree', 'Predictive Analytics', 'Regression Analysis', 'Marketing Performance Measurement And Management', 'Simulation', 'Mathematical Optimization', 'Solver', 'Talent Management', 'Performance Management']",12
27,Excel Skills for Business Specialization,Learn Excel Skills for Business. Master Excel to add a highly valuable asset to your employability portfolio. ,Business Essentials,"['Data Validation', 'Microsoft Excel', 'Microsoft Excel Macro', 'Pivot Table', 'Graphs', 'Spreadsheet', 'Chart', 'Concatenation', 'Consolization', 'Pivot Chart', 'Lookup Table', 'Microsoft Excel Vba']",12
28,Learn SQL Basics for Data Science Specialization,Discover how to produce visual data analytics and business insights with the powerful Python programming language.,Data Analysis,"['Data Analysis', 'Apache Spark', 'Delta Lake', 'SQL', 'Data Science', 'Sqlite', 'A/B Testing', 'Query String', 'Predictive Analytics', 'Presentation Skills', 'creating metrics', 'Exploratory Data Analysis']",12
29,The Materiality of ESG Factors Specialization,Learn about ESG Factors When Investing. Analyze the importance of ESG investing. Identify how the ESG approach should be an essential piece of your strategy based on various factors impacting and driving value.,Finance,"['ESG', 'Investment', 'Climate Change', 'Finance', 'social activism']",5
30,AI For Business Specialization,"Learn the Fundamentals of  AI and Machine Learning. Develop a deployment strategy for incorporating AI, ML, and Big Data into your organization that will take advantage of cutting-edge technologies",Leadership and Management,"['Artificial Intelligence (AI)', 'Machine Learning', 'Management', 'Analytics', 'Fraud Prevention']",5
31,Digital Product Management Specialization,Implement a modern approach to product management. Master the fundamentals that create great teams and products,Design and Product,"['hypothesis-driven development', 'Product Management', 'Design Thinking', 'agile', 'Lean Startup', 'Product/Market Fit', 'Innovation Pipeline', 'agile user stories', 'User Experience Design (UXD)', 'Agile Software Development', 'Software Development', 'Usability Testing']",12
32,Leading the Modern Day Business Specialization,Discover how to produce visual data analytics and business insights with the powerful Python programming language.,Leadership and Management,"['Marketing', 'Business Strategy', 'Leadership And Management', 'Storytelling', 'Innovation', 'Technology Disruption', 'Digital Trends', 'Competitive Lifecycle', 'Digital Strategy', 'Strategic Management', 'Strategic Thinking', 'Design Thinking']",12
33,Graphic Design Specialization,Make Compelling Design. Learn and apply the principles of graphic design towards a comprehensive branding project. ,Music and Art,"['Visual Communication', 'Branding Communication', 'Graphic Design', 'Art History', 'Typography', 'Creativity', 'Graphics', 'Design Theory', 'Color Theory', 'Adobe Illustrator', 'History', 'Adobe Indesign']",12
34,Security Analyst Fundamentals Specialization,Launch your career in Cybersecurity.. Acquire the knowledge you need to work as a Cybersecurity Analyst.,Security,"['threat intelligence', 'Digital Forensics', 'Data Breach', 'cybersecurity analyst', 'Computer Security Incident Management', 'scripting', 'forensics', 'Penetration Test', 'Cybersecurity', 'Application Security', 'network defensive tactics', 'security analyst']",12
35,Improve Your English Communication Skills Specialization,Improve Your English Communication Skills. Write and speak more professionally in English to increase your business success.,Learning English,"['Professional', 'Email Writing', 'Presentation', 'Writing', 'Communication', 'Stress', 'Public Speaking', 'Speech']",8
36,Entrepreneurship Specialization,"Turn Your Idea into a Funded Business. Develop, launch, fund and grow your own business",Entrepreneurship,"['Growth Strategies', 'Exit Strategy', 'Finance', 'Entrepreneurship', 'Discovery-Driven Planning', 'Elevator Pitch', 'Planning', 'Brand Management', 'Choosing Advisors', 'Brand', 'Strategic Management', 'Marketing']",12
37,Foundations of Positive Psychology  Specialization,Positive Psychology:  Well-being for life. Master strategies and tools that enable individuals and organizations to thrive,Business Essentials,"['Gratitude', 'goal setting', 'Research Methodology', 'Resilience', 'Character Strengths And Virtues', 'Positive Education', 'Positive Psychology', 'Savoring', 'Plan', 'Communication', 'Mindfulness', 'Flourishing']",12
38,Data Science Specialization,"Launch Your Career in Data Science. A ten-course introduction to data science, developed and taught by leading professors.",Data Analysis,"['Github', 'Machine Learning', 'R Programming', 'Regression Analysis', 'Data Science', 'Rstudio', 'Data Analysis', 'Debugging', 'Data Manipulation', 'Regular Expression (REGEX)', 'Data Cleansing', 'Cluster Analysis']",12
39,Supply Chain Management Specialization,"Supply Chain Management. Master the Fundamentals: Logistics, Operations, Planning, Sourcing, and Strategy",Business Essentials,"['Forecasting', 'Logistics', 'Supply Chain', 'Lean Six Sigma', 'Supply Chain Risk Management', 'Warehouse Management', 'Logistics Planning', 'Inventory', 'Six Sigma', 'Microsoft Excel', 'Planning', 'Demand Forecasting']",12
